930830	1000.00	1000.00
940620	1065.01	809.97	ALRT	CREAF	CPQ	GIS	MEOHF	WFC	MSFT
940621	1050.41	792.97	CREAF	ALRT	CPQ	MEOHF	WFC	GIS	XRX
940622	1057.12	798.82	CREAF	CPQ	MEOHF	WFC	ALRT	GIS
940623	1042.54	788.78	CREAF	CPQ	MEOHF	WFC
940624	1031.23	773.03	CREAF	ALRT	CPQ	MEOHF
940627	1045.44	787.93	CREAF	CPQ	ALRT	WFC	MEOHF
940628	1045.51	788.65	CREAF	CPQ	ALRT	WFC	MEOHF
940629	1046.89	769.06	ALRT	CPQ
940630	1045.32	766.90	ALRT	CPQ	CREAF	PHG
940701	1045.88	770.52	ALRT	CPQ	CREAF	MEOHF	PHG
940705	1043.49	784.91	ALRT	CREAF	CPQ	MEOHF	PHG
940706	1045.52	806.26	ALRT	CREAF	MEOHF	CPQ	PHG
940707	1054.75	814.09	BMET	ALRT	CREAF	MEOHF	CPQ	PHG
940708	1056.62	812.49	SLR	ALRT	CREAF	MEOHF	CPQ
940711	1057.03	813.04	SLR	ALRT	CREAF	CPQ	MEOHF	PHG
940712	1062.48	836.34	SLR	CREAF	ALRT	CPQ	MEOHF	WDC	CDN
940713	1075.05	854.47	SLR	CREAF	ALRT	CPQ	MEOHF	BBTK	WDC	CDN	PHG
940714	1080.47	848.07	CREAF	ALRT	CPQ	MEOHF	BBTK	WDC	PHG
940715	1077.56	831.64	CREAF	ALRT	MEOHF	CPQ	WDC	PHG
940718	1076.78	843.73	CREAF	ALRT	MEOHF	CPQ	WDC	PHG	DH
940719	1074.82	836.93	CREAF	ALRT	MEOHF	CPQ	TEK	PHG	DH
940720	1065.63	824.70	CREAF	MEOHF	ALRT	TEK	CPQ	PHG	DH
940721	1067.90	817.54	CREAF	MEOHF	ALRT	CPQ	PHG	DH
940722	1072.09	815.78	CREAF	MEOHF	ALRT	CPQ	PHG	DH
940725	1071.63	821.96	CREAF	MEOHF	ALRT	CPQ	PHG	DH
940726	1070.04	819.03	CREAF	MEOHF	CPQ	PHG	DH
940727	1068.35	813.19	CREAF	MEOHF	ALRT	CPQ	PHG
940728	1067.75	832.99	CREAF	MEOHF	PHG	CPQ
940729	1080.17	816.09	CREAF	MEOHF	PHG	CPQ	WDC	DH
940801	1086.06	830.72	CREAF	MEOHF	PHG	CPQ	WDC	UK
940802	1086.19	838.61	CREAF	MEOHF	PHG	CPQ	WDC	UK
940803	1084.71	826.35	MEOHF	CREAF	PHG	UK	CPQ	WDC	RBK
940804	1078.68	831.77	MEOHF	CREAF	PHG	UK	CPQ	XRX	WDC	DH
940805	1075.68	833.33	MEOHF	CREAF	CPQ	PHG	UK	WDC	XRX
940808	1081.46	830.00	MEOHF	CPQ	PHG	WDC	UK	XRX
940809	1085.70	831.15	MEOHF	CPQ	UK	PHG	WDC	XRX	RBK
940810	1095.29	838.08	MEOHF	CPQ	UK	PHG	WDC	CREAF	XRX	DH
940811	1096.04	835.85	MEOHF	CPQ	UK	PHG	WDC	XRX
940812	1103.86	835.46	MEOHF	CPQ	PHG	UK	WDC	CREAF	SLR	XRX	DH
940815	1104.82	833.85	MEOHF	SLR	CPQ	PHG	UK	WDC	XRX	DH
940816	1113.64	844.63	MEOHF	CPQ	PHG	UK	WDC	SLR	DH	NKE	XRX	RBK
940817	1119.51	850.88	MEOHF	CPQ	SLR	PHG	UK	WDC	STRM	DH	XRX	RBK
940818	1116.27	849.41	MEOHF	CPQ	PHG	SLR	STRM	UK	WDC	DH	XRX	RBK
940819	1120.02	847.99	MEOHF	CPQ	PHG	UK	SLR	STRM	WDC	DH	XRX	RBK
940822	1118.85	844.71	MEOHF	CPQ	PHG	SLR	UK	WDC	DH	XRX	STRM	RBK
940823	1124.28	842.99	MEOHF	CPQ	SLR	PHG	STRM	DH	MS	UK	XRX	RBK
940824	1130.82	844.14	MEOHF	SLR	CPQ	PHG	STRM	DH	UK	XRX	RBK
940825	1132.25	857.65	MEOHF	SLR	CPQ	STRM	PHG	XRX	UK	DH	CYRX	RBK
940826	1142.16	866.47	MEOHF	CPQ	STRM	PHG	SLR	BMET	UK	CYRX	XRX	DH
940829	1147.39	865.46	MEOHF	CPQ	SLR	STRM	PHG	ATSW	UK	XRX	CYRX	DH
940830	1152.93	853.72	MEOHF	CPQ	SLR	UK	PHG	TEK	STRM	XRX	DH	MS
940831	1151.35	846.58	MEOHF	CPQ	UK	TEK	PHG	SLR	STRM	XRX	MS	DH
940901	1144.27	830.14	MEOHF	CPQ	PHG	STRM	UK	TEK	XRX	RBK
940902	1144.40	829.30	MEOHF	PHG	CPQ	UK	STRM	XRX	TEK	RBK
940906	1144.06	833.03	MEOHF	PHG	CPQ	UK	STRM	XRX	RBK
940907	1151.65	832.77	MEOHF	STRM	PHG	CPQ	UK	XRX	TEK	TRMB	RBK	SLR
940908	1156.02	838.52	MEOHF	CPQ	STRM	PHG	TRMB	TEK	UK	SLR	XRX	WLM
940909	1147.38	835.10	MEOHF	TRMB	CPQ	PHG	TEK	STRM	UK	XRX	RBK	SLR
940912	1143.34	835.43	MEOHF	TRMB	CPQ	TEK	PHG	STRM	UK	XRX	RBK	WLM
940913	1147.26	849.24	MEOHF	TRMB	STRM	CPQ	PHG	TEK	UK	XRX	RBK	WLM
940914	1153.19	852.68	MEOHF	STRM	ATSW	TRMB	CPQ	PHG	UK	XRX	WDC	RBK
940915	1156.75	855.16	MEOHF	STRM	TRMB	CPQ	PHG	UK	ATSW	XRX	WDC	RBK
940916	1166.04	853.36	MEOHF	STRM	CPQ	TEK	UK	TRMB	PHG	CYRX	WLM	XRX
940919	1163.92	848.79	MEOHF	STRM	CPQ	TEK	UK	CYRX	PHG	WLM	XRX	TRMB
940920	1150.72	835.33	MEOHF	TEK	STRM	CPQ	UK	XRX	WLM	PHG	ATSW	RBK
940921	1145.39	824.46	MEOHF	TEK	CPQ	STRM	XRX	UK	PHG	WLM
940922	1145.01	819.54	MEOHF	TEK	CPQ	XRX	UK	STRM	PHG	ALRT	WLM
940923	1141.78	819.60	MEOHF	TEK	ALRT	UK	CPQ	XRX	PHG	WLM	STRM	RBK
940926	1138.99	815.50	MEOHF	TEK	ALRT	UK	CPQ	XRX	WLM	PHG
940927	1140.42	817.87	MEOHF	TEK	ALRT	UK	XRX	CPQ	PHG	WLM	RBK
